번호,제목,본문내용,국가,지역
94,[중국] QICHACHA ,"□ 사이트개요ㅇ 사이트 유형: 중국 기업정보 검색 사이트ㅇ 운영회사: ?州朗???科技有限公司ㅇ 중국 내 기업 정보가 실시간으로 업데이트되며, 현재 중국 시장의 80개 산업, 8,000개 업종, 6,000개 시장, 8,000여개 기업 데이터 보유, 현재 시장 점유율 1위 유지ㅇ 언어: 중국어□ 제공 정보ㅇ 기업 관련 사업자등록정보, 연간 통계 보고, 주주정보, 투자자정보, 등기자본, 상표, 지적재산권, 주요 인적정보, 변경기록 등을 실시간으로 조회 가능□ 메뉴 구성ㅇ ?企?(기업정보 검색)- 기업명, 대표자명, 브랜드명 등을 검색하여 관련 기업에 대한 정보 제공ㅇ 搜老板(대표자 검색)- 성명, 기업명, 상품 키워드 등을 입력하여 관련 기업 대표에 관한 정보 제공ㅇ ??系(관계 조회)- 빅데이터 기반 기업관 관계 검색ㅇ ?用(응용)- 기업 홈페이지, 위치 검색, 구인정보, 주식정보 등 기업 관련 응용 데이터 검색□ 검색 방법ㅇ ?公司(기업검색)? 메뉴에서 ?企? 클릭? 기업명 혹은 관련 키워드 입력 후 검색? 해당 업체 정보 조회 가능ㅇ 搜老板: CEo 검색? 메뉴에서 搜老板 클릭? CEo 성명 입력 후 검색? 해당 CEo 및 기업 정보 조회 가능* VIP회원만 이용가능ㅇ 인맥 검색? 메뉴에서 ??系 클릭? 기업명 혹은 CEo 입력 후 검색? 자회사 및 관련 인물 조회 가능* VIP회원만 이용가능□ 회원 등급별 이용가능 서비스ㅇ 일반 회원- 기본 정보 검색 가능ㅇ VIP 회원- CEo 검색- 인맥 검색- 검색 결과 데이터 다운로드- 검색결과 분류- 재무재표 검색- 동종업계 기업 분석- 기업 신용 보고 검색",중국,아시아
95,[대만] SuperhiPage,"□ 사이트 개요     o 사이트 유형: 기업정보검색   o 사이트 주소 : www.iyp.com.tw    o언어: 중국어(번체자)  □ 제공 정보   o 대만기업 기본정보(기업명, 주소, 전화번호, 홈페이지, 이메일) 외에도사업분야, 취급제품 등의 추가정보를 확인 가능    o 회원가입 없이 무료조회 가능",대만,아시아
96,[과테말라] VESTEX,"□ 사이트 개요? 사이트 유형 : 회원사 디렉토리? 과테말라 최대 섬유산업협회로 홈페이지( www.vestex.com.gt ) 를 통해 회원사 명부 조회 가능? 언어 : 스페인어(스페인어)□ 제공 정보? 회원사 기본정보(분야별) 외 연락처, 주소, 이메일 등",과테말라,중남미
97,[이집트] Kompass,"[이집트] 콤파스 Kompass ( https://eg.kompass.com/en ) □ 사이트 개요? 사이트 유형 : 기업검색사이트, B2B 온라인 디렉토리? 등록회사 수 : 52,848? 언어 : 영어, 아랍어□ 제공 정보? 기업명, 연락처, 팩스번호, 웹사이트, 주소, 사업자등록번호 등과 같은 기본적인 기업 정보? 수입/수출국, 지역 등에 대한 정보도 추가적으로 제공? 직원 수, 기업규모, 매출액 등 핵심 정보? 위험 등급, 주주 및 주식 등의 재무 정보□ 웹사이트 기능? 기업 검색 필터 (위치, 회사 활동, 회사 규모, 회사 정보, 재무 및 임원). 단일 회사 혹은 다수의 회사 한 번에 검색 가능.? 키워드를 이용하여 검색할 수 있음",이집트,중동
98,[베트남] Yellow Pages,"□ 개요 ㅇ Yellow Pages는 베트남 최대 현지 기업 검색 사이트 중 하나 - 홈페이지 : http://www.yp.vn/business/en.aspx #(클릭 시 해당 홈페이지 이동)          로고     ㅇ 현지 회사명 검색 시 관련 기업 정보를 검색해 볼 수 있음. ㅇ 산업ㆍ제품별로 구분하여 현지 제조업체, 유통업체 정보도 검색 가능 ㅇ 제공 언어 : 영어 /베트남어/ 중국어 ㅇ 연락처 - 호찌민 : +84-28-3855-6666 - 하노이 : +84-24-3665-8888□ 제공 정보 ㅇ 회사명, 주소, 지도, 대표 전화번호, 이메일, 산업군, 주요 제품 사진 등 기본적인 기업 정보를 무료로 조회 가능□ 특징 ㅇ 호찌민시, 하노이, 다낭 등 도시별로 검색 가능 ㅇ 산업 분류, 제품 분류가 매우 세분화되어 있어 기업 검색이 편리하며, 베트남 현지 파트너사를 찾는데 유용함.",베트남,아시아
99,[이탈리아] RegistroImprese,"[이탈리아] RegistroImprese (https://registroimprese.it/) □ 사이트 개요ㅇ사이트 유형 : 이탈리아 상공회의소 온라인 기업 검색 사이트ㅇ 운영회사 : 이탈리아 상공회의소(Chamber of Commerce)ㅇ 이탈리아 상공회의소는 운영 중인 업체의 기본정보(등기부등본, 재무제표)를 1년에 한 번씩 의무적으로 등기하도록 하고 있음. 동 자료는 상공회의소 온라인 사이트에서 유료로 열람 가능ㅇ 언어 : 이탈리아어, 영어(일부 자료만 가능)□ 제공 정보ㅇ 자본금, 주주 구성, 자산 및 부채 등 등기부 등본과 재무제표 항목을 모두 열람 가능",이탈리아,유럽
100,[인도네시아] DIREKToRI INDUSTRI INDoNESIA,"[인도네시아] DIREKToRI INDUSTRI INDoNESIA(www.direktori-industri.com) □ 사이트 개요 ? 사이트 유형 : 기업 검색 사이트 ? 인도네시아 제조업, 서비스업, 농업, 상업, 금속산업, 화확산업, 창조경제분야 등의 업체 리스트를 무료로 제공하는 웹사이트 디렉토리로, 별도 비용 납부 없이 사용 가능 ? 언어 : 인도네시아어□ 제공 정보 ? 기업명, 전화번호, 팩스, 주소, 홈페이지 내 기업 조회수 등□ 메뉴 구성 ? 기업 검색란(SEARCH) - 검색창에 검색 희망품목, 회사명, 키워드 등 입력하여 검색 가능 ? NEW LISTINGS, ToP LISTINGS, PoPULAR LISTINGS - 새로 등록된 기업, 조회 수 많은 기업 리스트 조회 가능",인도네시아,아시아
101,[루마니아] Lista Firme,"□ 사이트 개요ㅇ 사이트 유형 : 기업 검색 사이트ㅇ 언어 : 루마니아어, 영어ㅇ 루마니아내 모든 도메인, 모든 사업 영역의 기업 검색 가능 - 회원가입필수 및 유료 사이트임(검색업체수에 따라 가격 책정)ㅇ 홈페이지 : https://www.listafirme.ro/ □ 제공 정보(유료)ㅇ 회사명ㅇ 사업영역ㅇ 주소ㅇ 연락처ㅇ 소유주",루마니아,유럽
102,[헝가리] Bisnode,"□ 사이트 개요o 사이트 주소: www.partnerradar.hu o 사이트 유형: 기업검색 사이트 및 비즈니스 정보 제공o 유럽에서 대표적인 비즈니스와 시장 정보를 제공하는 기업인 BISNoDE 의 소속으로, 헝가리 내 기업 정보를 제공함.- 무료일 때는 키워드 검색으로, 기업명, 주소, 세금번호, 등록 번호만을 알수 있음.- 유료 회원일 때는 키워드 검색으로, 기업 매출액, 재무상태, 연락처 등을 알 수 있음.o 언어: 영어, 헝가리어o 사용 요금: 가격은 공개되어 있지 않고, 메일을 보내면 비즈니스 시간 24시간 안으로 회신이 오게 되어 있음.",헝가리,유럽
103,[러시아] Spark-Interfax,"□ 사이트 개요o 사이트 주소: http://www.spark-interfax.ru/ o 사이트 유형: 기업 검색 및 기업 재무 정보 제공o 러시아 내 대표적인 기업 검색 사이트로 기업명, INN번호 등으로 기업 검색 가능.- 동 홈페이지의 자료는 유료로 제공 되며기업 매출액, 재무상태, 연락처 등을 알 수 있음.o 언어: 러시아어, 영어",러시아연방,유럽
